aquasecurity,Aqua Security,"Aqua Security is an Israeli tech company[^1]
Don't buy Aqua Security products/services
Don't sell Aqua Security products/services
Don't work for Aqua Security
[^1]: https://buyisraelitech.com/database/aqua-security",avoid,operations_in_israel,global,"technology, security",,https://www.aquasec.com/wp-content/uploads/2022/06/Aqua-Logo-Color-RGB-2022-300x300-1.jpg,,,
arwa,Arwa,"Coca-Cola Company which owns Arwa, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.[^1]
Don't buy Arwa.
Don't sell Arwa
Don't work for the Coca-Cola Company
[^1]: https://www.foa.org.uk/campaign/boycottcocacola",avoid,operations_in_settlements,global,drinks,,https://static1.squarespace.com/static/5864860159cc68953ac8600c/t/5f453f211583ee7c9ab872a2/1598373670070/arwa_cover_small_social.jpg?format=1500w,,"Supermarket own brand products, eg. Morrisons
Barr Drinks (owner of Irn Bru)",
astra,Astra,"Astra is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.[^1]
Don't buy Astra products
Don't sell Astra products
Don't work for Astra
[^1]: https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5",avoid,operations_in_israel,global,healthcare,,https://cdn11.bigcommerce.com/s-3ajejz7ey6/images/stencil/600x600/products/627/1486/Astra_Superior_Stainless_Razor_Blades__02114.1646828321.jpg?c=2,,Supermarket own brand products,
ateam,A.Team,"A.Team is an Israeli tech company[^1]
Don't buy A.Team products/services
Don't sell A.Team products/services
Don't work for A.Team
[^1]: https://buyisraelitech.com/database/ateam",avoid,operations_in_israel,global,"technology, hr",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/32528a0b-67dc-4c3f-aa90-3084a099f8be/logo_a-teams/w=450,,,
aviva,Aviva,"Aviva invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians[^1]
Don't keep your pension with Aviva.
Don't use Aviva insurance products.
Don't work for Aviva.
[^1]: https://www.ethicalconsumer.org/money-finance/israel-deadly-investments",avoid,operations_in_israel,global,"finance, insurance",,https://i0.wp.com/fourteenten.com/wp-content/uploads/2017/03/AVIVA-Client-Logo-Image.png,,Search for local ethical investment providers and insurers,
axa,AXA,"AXA continues to invest in Israeli banks which are complicit in Israels occupation and apartheid in Palestine.[^1]
Don't take insurance from Axa.
If you already have AXA insurance, switch as soon as you can.
Don't work for AXA.
[^1]: https://bdsmovement.net/news/axa-continues-investments-in-israeli-apartheid-boycott-axa-now",avoid,operations_in_israel,global,"insurance, finance",,https://www.tabletalkmedia.co.uk/wp-content/uploads/2015/03/axa.png,,,
axonius,Axonius,"Axonius is an Israeli tech company[^1]
Don't buy Axonius products/services
Don't sell Axonius products/services
Don't work for Axonius
[^1]: https://buyisraelitech.com/database/ax",avoid,operations_in_israel,global,"technology, security",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/7f7a827b-495e-4506-aef8-aad3d2d5659e/axonius_it-risk-management-solutions_1621351412990/w=450,,,
baesystems,BAE Systems,"BAE Systems supplies many military hardware and software items to the Israeli Air Force. Including parts of the F-35 fighter jet and flares used in many of the aircraft.[^1]
Don't work for BAE Systems
[^1]: https://www.baesystems.com/en/product/electronic-warfare-and-support-equipment#:~:text=BAE%20Systems%20Rokar%20is%20the%20sole%20supplier%20of%20these%20systems%20to%20the%20Israeli%20Air%20Force.",avoid,operations_in_israel,global,"weapons, manufacturer",,https://rocketandcloud.co.uk/wp-content/uploads/2022/02/bae-logo-6-1-550x360.png,,Work for an engineering company that has no involvement in producing weapons used in israel,
balance,Balance,"Balance is an Israeli tech company[^1]
Don't buy Balance products/services
Don't sell Balance products/services
Don't work for Balance
[^1]: https://buyisraelitech.com/database/balance",avoid,operations_in_israel,global,"technology, finance",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/b73d398a-2f4d-443a-892c-cda183b6e94d/Balance_Logo_Black/w=450,,,
bally,Bally,"The owners of Bally, the Reimann family are staunch zionists and support the zionist state with investment and donations through their Alfred Landecker Foundation.[^1]
Don't eat from Bally.
Don't work for Bally.
[^1]: https://www.alfredlandecker.org/en/article/the-story-of-the-alfred-landecker-foundation",avoid,operations_in_israel,global,"fashion, clothing",,https://1000logos.net/wp-content/uploads/2021/04/Bally-Logo-old.png,,,
